pairIdx	index	syn1	syn2	DiachrD1	DiachrD2	DiachrDG1	DiachrDG2	DiachrDG_avg	DiachrDG_avgstd	FO1	FO2	FE1	FE2	EnoughFreq	FGO1	FGO2	FGE1	FGE2	FEvol1	FEvol2	WNpressure_1	WNpressure_2	WNsenses_1	WNsenses_2	SDO	SDE	Div	SDGO	SDGE	Dec_avg	Dec_avgstd
652	157	convey	transmit	0.7730061349693251	0.7341772151898734	low	low			46	9	63	43	True	2	1	2	2	0	1	11	14	7	4	0.46987946	0.7808501	0.31097063999999996	close	mid	LD	LD
653	2663	coordinate	organise	0.9189189189189187	0.9247311827956988	avg	avg	both		2	4	12	6	False	0	0	1	0	1	0	4	13	4	6	0.8447741	0.83800538	-0.00676871999999995	mid	mid	LD	LPC
654	1395	coordinate	organize	0.9189189189189187	0.6842105263157895	avg	low	s1		2	29	12	76	False	0	2	1	2	1	0	4	13	4	6	0.88907194	0.84906115	-0.04001078999999996	mid	mid	LPC	LPC
655	1309	cope	contend	0.8095238095238095	0.8571428571428572	low	avg	s2		6	40	6	162	True	0	2	0	3	0	1	7	17	1	6	0.8786253	0.84235315	-0.03627215000000006	mid	mid	LPC	LPC
656	2172	cope	grapple	0.8095238095238095	0.8764044943820225	low	avg	s2		6	10	6	6	True	0	1	0	0	0	-1	7	8	1	2	0.63958125	0.721275	0.08169375000000001	mid	mid	LD	LD
657	614	cope	manage	0.8095238095238095	0.75	low	low			6	79	6	191	True	0	3	0	3	0	0	7	20	1	7	0.85749323	0.77418477	-0.08330846000000003	mid	mid	LPC	LPC
658	1135	correspond	agree	0.7421383647798743	0.6111111111111112	low	low			52	301	52	783	True	2	3	2	3	0	0	10	15	4	7	0.92474024	0.91030864	-0.014431599999999989	far	mid	LD	LPC
659	980	correspond	represent	0.7421383647798743	0.7341772151898734	low	low			52	279	52	464	True	2	3	2	3	0	0	10	18	4	15	0.89264287	0.90108489	0.00844202000000005	mid	mid	LD	LPC
660	694	corroborate	affirm	0.8888888888888888	0.7421383647798743	avg	low	s1		12	9	17	1	False	1	1	1	0	0	-1	8	11	3	3	0.63139696	0.61284035	-0.018556609999999973	close	close	LPC	LPC
661	2501	corroborate	confirm	0.8888888888888888	0.8023952095808383	avg	low	s1		12	44	17	70	True	1	2	1	2	0	0	8	6	3	5	0.94095196	0.90585693	-0.03509503000000003	far	mid	LPC	LPC
662	1870	corroborate	substantiate	0.8888888888888888	0.9130434782608696	avg	avg	both		12	5	17	3	False	1	0	1	0	0	0	8	12	3	4	0.83799624	0.93968602	0.10168978000000006	mid	far	LD	LD
